"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IL","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PG","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,2.37,0.641,0.172,"na",0.286,0.233,0.207,0.122,19.556,57.323,0.338,0.243,14.246,0.326,0.0,0.165,5.989,4.484,23.755,24.693,9.955,2.693,71.569,0.052,2.492,0.726,0.122,0.223,0.082,3.721,0.084,0.739,0.822,0.003,0.343,0.777,14.101,0.147,1.054,"na",0.685,0.093,1.827,0.85,1.161,1.901,0.388,0.081,0.032,0.0,0.45,0.094,2.8,0.3,"na",3.183,0.09,0.292,"na",0.297,"na",5.636,"na",1.262,0.0,0.0
1981,2.529,0.648,0.434,"na",0.317,0.225,0.212,0.154,20.778,59.81,0.34,0.246,14.8,0.34,0.0,0.159,5.913,5.589,24.815,25.004,10.409,2.879,74.61,0.059,2.563,0.723,0.122,0.208,0.082,3.678,0.083,0.664,0.864,0.002,0.411,0.773,14.085,0.164,1.046,"na",0.665,0.146,2.134,1.37,1.147,1.836,0.372,0.078,0.032,0.0,0.465,0.09,2.83,0.28,"na",3.346,0.09,0.402,"na",0.34,"na",5.712,"na",1.365,0.0,0.0
1982,2.973,0.692,0.609,"na",0.339,0.222,0.221,0.146,21.389,62.072,0.432,0.236,14.876,0.349,0.0,0.155,6.286,6.035,25.296,25.884,10.431,3.016,76.948,0.071,2.591,0.888,0.12,0.202,0.082,3.613,0.203,0.633,0.96,0.001,0.42,0.816,14.069,0.165,1.04,"na",0.653,0.146,2.134,1.385,1.385,1.788,0.345,0.083,0.027,0.0,0.481,0.088,3.145,0.255,"na",3.432,0.103,0.35,"na",0.334,"na",5.706,"na",1.471,0.0,0.0
1983,3.049,0.679,0.598,"na",0.311,0.218,0.218,0.134,22.001,63.433,0.546,0.235,15.16,0.37,0.0,0.164,6.287,6.238,26.144,26.383,10.464,3.076,78.592,0.081,2.613,0.902,0.113,0.269,0.098,3.531,0.2,0.712,1.189,0.001,0.462,0.821,14.045,0.216,1.036,"na",0.64,0.245,2.181,1.4,1.37,1.756,0.407,0.165,0.026,0.0,0.51,0.085,3.4,0.23,"na",3.544,0.104,0.168,"na",0.317,"na",5.67,"na",1.562,0.0,0.0
1984,3.108,0.668,0.655,"na",0.353,0.214,0.238,0.125,22.917,66.009,0.555,0.232,15.275,0.373,0.0,0.158,6.215,6.954,26.995,27.402,10.573,3.145,81.284,0.083,2.809,0.919,0.109,0.257,0.103,3.442,0.235,0.725,1.699,0.001,0.478,0.818,14.016,0.229,1.038,"na",0.628,0.26,2.172,1.39,1.355,1.718,0.38,0.215,0.025,0.0,0.52,0.082,4.28,0.21,"na",3.608,0.104,0.21,"na",0.311,"na",5.592,"na",1.666,0.0,0.0
1985,3.148,0.681,0.674,"na",0.353,0.209,0.238,0.129,24.445,68.412,0.592,0.254,15.196,0.366,0.0,0.153,6.162,7.485,28.623,27.671,10.427,3.241,83.608,0.092,2.784,0.901,0.107,0.249,0.091,3.349,0.255,0.648,1.982,0.001,0.48,0.821,13.986,0.238,1.036,"na",0.626,0.268,2.167,1.494,1.34,1.684,0.545,0.218,0.027,0.0,0.623,0.087,4.44,0.27,"na",3.687,0.124,0.218,"na",0.317,"na",5.476,"na",1.735,0.0,0.0
1986,5.414,0.671,0.857,"na",0.354,0.204,0.34,0.137,25.056,74.319,0.724,0.234,15.229,0.359,0.0,0.152,7.401,8.093,29.172,30.411,10.317,4.154,89.548,0.095,2.746,0.894,0.113,0.321,0.071,3.259,0.29,0.634,2.265,0.001,0.541,0.821,13.955,0.243,1.167,"na",0.728,0.268,2.146,1.501,2.4,1.651,0.453,0.229,0.055,0.0,0.635,0.149,4.44,0.235,"na",4.021,0.142,0.204,"na",0.309,"na",5.425,"na",2.622,0.0,0.017
1987,5.684,0.693,1.016,"na",0.354,0.198,0.331,0.142,25.484,76.077,0.79,0.228,15.958,0.352,0.028,0.151,7.394,8.337,30.346,31.177,10.113,4.668,92.035,0.103,2.693,0.924,0.097,0.316,0.07,3.163,0.307,0.644,2.367,0.001,0.552,1.0,13.922,0.275,1.205,"na",0.727,0.268,2.119,1.487,2.407,1.613,1.247,0.272,0.34,0.001,0.626,0.148,4.44,0.198,"na",4.189,0.125,0.184,"na",0.303,"na",5.301,"na",2.838,0.0,0.113
1988,5.663,0.773,0.981,"na",0.35,0.19,0.322,0.147,25.973,80.444,0.818,0.269,15.751,0.347,0.028,0.15,7.684,8.637,31.23,34.343,9.507,4.794,96.195,0.107,2.671,0.953,0.127,0.305,0.079,3.234,0.329,0.59,2.561,0.001,0.6,2.69,14.2,0.3,1.378,"na",0.827,0.267,2.078,1.487,2.476,1.585,1.732,0.283,0.34,0.001,0.651,0.155,4.621,0.165,"na",5.02,0.113,0.195,"na",0.294,"na",4.758,"na",2.856,0.0,0.156
1989,5.65,0.671,0.907,"na",0.725,0.183,0.317,0.116,31.779,91.217,0.824,0.259,15.653,0.35,0.011,0.167,8.475,9.264,36.979,37.832,9.524,4.795,106.871,0.114,2.732,1.057,0.109,0.295,0.108,3.25,0.351,0.56,2.553,0.001,0.686,3.115,17.0,0.302,1.4,"na",1.218,0.266,2.06,1.614,2.832,1.575,1.73,0.279,0.34,0.002,0.65,0.148,4.62,0.133,"na",5.218,0.157,0.229,"na",0.286,"na",4.732,"na",2.993,0.0,0.198
1990,5.623,0.66,0.881,"na",0.725,0.177,0.331,0.113,33.325,93.719,0.826,0.29,15.654,0.347,0.015,0.163,8.553,9.61,38.506,37.989,9.545,5.171,109.374,0.113,2.725,1.032,0.101,0.182,0.099,3.3,0.379,0.545,2.864,0.001,0.7,3.107,17.003,0.295,1.518,"na",1.208,0.265,2.025,1.64,2.84,1.784,1.68,0.28,0.339,0.002,0.642,0.144,4.615,0.105,"na",5.223,0.182,0.224,"na",0.252,"na",4.795,"na",3.429,0.015,0.245
1991,5.793,0.643,0.903,"na",0.72,0.173,0.396,0.116,2.307,99.452,0.781,0.319,15.12,0.333,0.005,0.161,9.512,8.914,38.742,42.648,9.451,5.304,114.572,0.122,2.711,1.035,0.099,0.164,0.101,3.626,0.396,0.54,1.84,0.001,0.73,3.1,19.8,0.337,1.511,"na",1.309,0.278,2.009,1.674,3.4,1.762,1.274,0.093,0.343,0.003,0.756,0.138,6.428,0.481,31.305,5.221,0.2,0.246,"na",0.238,"na",4.731,"na",3.582,0.015,0.324
1992,5.795,0.541,0.956,"na",0.303,0.167,0.4,0.12,2.284,101.91,0.792,0.325,15.166,0.333,0.005,0.162,9.893,8.976,39.59,43.899,9.328,5.391,117.077,0.131,2.672,1.445,0.185,0.166,0.129,3.65,0.436,0.61,1.82,0.001,0.735,3.1,20.7,0.276,1.495,"na",1.299,0.278,1.983,1.737,3.716,1.74,1.381,0.15,0.326,0.003,0.637,0.143,6.713,0.466,32.061,5.249,0.2,0.231,"na",0.233,"na",4.673,"na",3.693,0.106,0.324
1993,5.795,0.517,0.943,"na",0.297,0.159,0.4,0.118,3.258,103.725,0.747,0.329,14.534,0.306,0.005,0.159,10.014,9.268,40.456,44.322,8.804,5.395,118.259,0.135,2.232,1.726,0.211,0.166,0.126,3.7,0.595,0.63,1.82,0.001,0.718,3.1,20.7,0.268,1.492,"na",1.289,0.268,1.973,1.825,3.683,1.697,1.355,0.2,0.332,0.004,0.651,0.14,7.07,0.445,32.065,5.249,0.227,0.181,"na",0.23,"na",4.599,"na",3.693,0.106,0.324
1994,6.777,0.535,1.228,"na",0.301,0.153,0.4,0.108,3.679,104.608,0.777,0.348,14.468,0.263,0.005,0.157,9.131,9.622,40.641,45.459,8.474,5.749,119.076,0.144,1.898,1.725,0.214,0.186,0.124,2.963,0.631,0.66,1.82,0.001,0.702,3.115,20.764,0.273,1.499,"na",1.31,0.268,1.937,1.926,3.45,1.686,1.346,0.256,0.34,0.003,0.592,0.14,7.07,0.425,31.857,5.26,0.235,0.175,"na",0.286,"na",4.639,"na",3.965,0.134,0.324
1995,5.859,0.619,1.201,"na",0.272,0.147,0.4,0.127,3.946,105.371,0.808,0.406,14.492,0.266,0.005,0.152,9.93,10.091,40.167,45.272,8.521,5.881,119.863,0.152,1.929,1.725,0.217,0.202,0.12,3.69,0.645,0.7,1.95,0.001,0.676,3.36,19.35,0.272,1.494,"na",1.313,0.268,1.916,2.271,3.474,1.648,1.352,0.453,0.201,0.003,0.596,0.138,8.5,0.407,31.115,5.544,0.235,0.176,"na",0.349,"na",4.676,"na",4.065,0.147,0.324
1996,5.784,0.642,1.292,"na",0.3,0.142,0.4,0.108,3.764,108.851,0.833,0.4,14.653,0.219,0.005,0.147,10.168,9.934,39.808,49.15,8.466,5.978,123.503,0.156,1.942,1.209,0.217,0.206,0.114,3.7,0.849,0.76,2.05,0.001,0.641,3.36,23.0,0.255,1.489,"na",1.311,0.282,1.81,2.4,3.475,1.63,1.48,0.617,0.201,0.003,0.589,0.135,8.5,0.389,30.857,5.693,0.235,0.196,"na",0.456,"na",4.714,"na",4.051,0.171,0.324
1997,6.063,0.684,1.419,0.571,0.297,0.142,0.391,0.118,"na",112.336,0.82,0.412,14.355,0.247,0.005,0.146,10.621,10.283,41.867,49.375,8.341,6.204,126.691,0.225,1.809,1.199,0.196,0.192,0.111,4.077,0.927,0.765,2.152,0.001,0.692,3.188,23.0,0.251,1.49,1.269,1.314,0.283,1.797,2.464,3.483,1.644,1.173,0.542,0.198,0.003,0.595,0.14,8.5,0.374,30.988,5.882,0.238,0.205,2.365,0.517,0.666,4.735,1.11,4.121,0.17,0.324
1998,5.996,0.687,1.89,0.571,0.297,0.142,0.382,0.15,"na",116.405,0.844,0.409,13.611,0.218,0.005,0.143,10.768,11.146,41.493,53.012,7.244,6.353,130.016,0.223,1.748,1.412,0.196,0.192,0.104,4.077,1.02,0.755,2.181,0.001,0.675,3.188,24.1,0.243,1.482,1.269,1.315,0.285,0.851,2.41,3.512,1.599,1.172,0.568,0.247,0.003,0.612,0.128,10.9,0.36,30.8,6.068,0.238,0.42,2.259,0.56,0.714,4.645,1.11,4.147,0.17,0.324
