"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_FSU","BP_OME","BP_TAF","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KW","KZ","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PL","PT","QA","RO","RU","SA","SE","SI","SK","TM","TR","TT","UA","US","UZ","VE","ZA"
1965,0.0,0.399,0.167,0.0,"na",0.0,0.007,0.005,11.772,0.023,0.092,3.665,0.388,43.118,1.435,0.005,"na",2.096,0.0,0.06,0.107,0.087,0.0,0.042,0.3,0.0,0.072,0.0,0.0,0.005,0.0,0.0,0.484,0.083,0.0,0.0,0.0,0.132,0.049,0.0,0.007,0.023,0.046,0.079,0.0,0.714,0.177,0.167,"na",0.0,0.0,0.0,0.005,0.0,0.78,0.0,0.145,0.0,0.0,0.0,0.035,0.166,0.0,0.008,1.359,"na",0.058,0.0,0.0,0.029,"na",0.0,0.118,"na",40.241,"na",0.727,0.0
1966,0.0,0.432,0.179,0.0,"na",0.0,0.013,0.008,13.133,0.027,0.103,4.15,0.472,46.49,1.533,0.006,"na",2.295,0.0,0.062,0.131,0.09,0.0,0.043,0.36,0.0,0.075,0.0,0.0,0.005,0.0,0.0,0.511,0.081,0.0,0.0,0.0,0.163,0.05,0.0,0.009,0.026,0.056,0.083,0.0,0.779,0.181,0.219,"na",0.0,0.0,0.0,0.005,0.0,0.823,0.0,0.277,0.0,0.0,0.0,0.037,0.197,0.0,0.008,1.465,"na",0.07,0.0,0.0,0.032,"na",0.0,0.139,"na",43.372,"na",0.763,0.0
1967,0.043,0.452,0.171,0.0,"na",0.0,0.049,0.025,14.459,0.032,0.102,4.973,0.561,48.94,1.653,0.007,"na",2.437,0.0,0.055,0.142,0.112,0.0,0.052,0.464,0.0,0.072,0.0,0.0,0.005,0.0,0.0,0.584,0.136,0.0,0.0,0.0,0.209,0.061,0.0,0.01,0.034,0.044,0.087,0.0,0.851,0.188,0.249,"na",0.0,0.0,0.0,0.005,0.0,0.708,0.0,0.489,0.0,0.0,0.0,0.035,0.241,0.0,0.011,1.616,"na",0.084,0.0,0.0,0.039,"na",0.0,0.153,"na",45.795,"na",0.836,0.0
1968,0.056,0.502,0.182,0.003,"na",0.0,0.119,0.038,15.569,0.038,0.103,6.427,0.703,52.354,1.733,0.007,"na",2.707,0.0,0.047,0.136,0.114,0.0,0.064,0.761,0.0,0.076,0.0,0.0,0.005,0.0,0.0,0.696,0.307,0.0,0.0,0.0,0.263,0.062,0.0,0.013,0.038,0.044,0.092,0.0,0.997,0.204,0.306,"na",0.0,0.0,0.0,0.005,0.0,0.758,0.0,0.82,0.0,0.0,0.0,0.038,0.33,0.0,0.051,1.705,"na",0.101,0.0,0.0,0.086,"na",0.0,0.16,"na",48.889,"na",0.86,0.0
1969,0.056,0.501,0.222,0.04,"na",0.0,0.245,0.039,16.684,0.045,0.121,8.312,0.842,56.746,1.788,0.007,"na",3.033,0.0,0.062,0.191,0.124,0.0,0.071,1.087,0.0,0.1,0.0,0.0,0.007,0.009,0.0,0.811,0.601,0.0,0.0,0.0,0.314,0.117,0.0,0.014,0.046,0.07,0.109,0.0,1.097,0.226,0.343,"na",0.0,0.0,0.0,0.005,0.0,0.943,0.0,1.212,0.0,0.0,0.0,0.039,0.459,0.0,0.085,1.985,"na",0.122,0.0,0.0,0.087,"na",0.0,0.162,"na",52.77,"na",0.888,0.0
1970,0.079,0.566,0.269,0.167,"na",0.0,0.385,0.036,18.333,0.053,0.15,10.497,0.91,59.935,1.82,0.008,"na",3.351,0.004,0.062,0.28,0.121,0.0,0.078,1.546,0.0,0.094,0.007,0.0,0.008,0.007,0.0,0.924,1.144,0.0,0.0,0.0,0.352,0.122,0.0,0.012,0.061,0.072,0.258,0.0,1.184,0.346,0.187,"na",0.0,0.001,0.0,0.005,0.0,0.964,0.001,1.707,0.0,0.007,0.0,0.038,0.585,0.0,0.101,2.063,"na",0.149,0.0,0.0,0.117,"na",0.0,0.185,"na",55.62,"na",0.828,0.0
1971,0.125,0.612,0.309,0.25,"na",0.0,0.53,0.028,20.04,0.062,0.178,12.926,1.0,61.92,1.854,0.013,"na",3.577,0.009,0.063,0.365,0.126,0.0,0.096,2.042,0.0,0.107,0.007,0.0,0.008,0.039,0.0,1.095,1.845,0.0,0.0,0.0,0.366,0.123,0.0,0.012,0.065,0.085,0.298,0.0,1.223,0.371,0.193,"na",0.0,0.001,0.0,0.005,0.0,1.002,0.008,2.231,0.0,0.009,0.0,0.046,0.643,0.0,0.101,2.206,"na",0.124,0.0,0.0,0.147,"na",0.0,0.18,"na",57.341,"na",0.802,0.006
1972,0.13,0.684,0.333,0.358,"na",0.042,0.667,0.019,21.02,0.075,0.238,15.694,1.121,62.848,1.957,0.017,"na",4.012,0.011,0.058,0.471,0.153,0.0,0.104,2.636,0.0,0.124,0.01,0.0,0.007,0.113,0.0,1.292,2.611,0.0,0.0,0.0,0.394,0.12,0.0,0.012,0.071,0.086,0.34,0.0,1.399,0.37,0.228,"na",0.0,0.011,0.0,0.005,0.0,1.069,0.011,2.895,0.0,0.016,0.0,0.044,0.675,0.0,0.11,2.233,"na",0.14,0.0,0.0,0.16,"na",0.0,0.186,"na",57.767,"na",0.795,0.009
1973,0.163,0.781,0.367,0.455,"na",0.059,0.804,0.019,22.922,0.122,0.383,17.885,1.368,62.917,2.227,0.02,"na",4.278,0.015,0.045,0.583,0.159,0.0,0.115,3.409,0.0,0.173,0.006,0.0,0.005,0.109,0.0,1.519,2.833,0.0,0.0,0.0,0.469,0.079,0.0,0.005,0.071,0.084,0.414,0.0,1.575,0.516,0.256,"na",0.0,0.023,0.0,0.007,0.0,1.188,0.011,3.228,0.0,0.018,0.0,0.043,0.704,0.0,0.158,2.366,"na",0.165,0.0,0.0,0.176,"na",0.0,0.179,"na",57.451,"na",0.983,0.01
1974,0.17,0.827,0.398,0.52,"na",0.065,0.942,0.041,24.306,0.15,0.431,20.257,1.433,61.035,2.347,0.038,"na",4.325,0.033,0.047,0.734,0.166,0.0,0.14,4.265,0.0,0.2,0.011,0.0,0.006,0.137,0.043,1.586,3.389,0.0,0.0,0.0,0.5,0.111,0.0,0.006,0.08,0.077,0.421,0.0,1.772,0.705,0.269,"na",0.0,0.03,0.0,0.008,0.0,1.25,0.023,3.435,0.0,0.035,0.0,0.045,0.724,0.0,0.13,2.442,"na",0.209,0.0,0.0,0.214,"na",0.0,0.164,"na",55.461,"na",1.038,0.011
