"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.079,0.566,0.167,"na",0.0,0.063,0.021,0.004,10.012,18.141,24.468,0.011,0.526,69.943,0.013,0.072,0.292,1.461,10.109,1.015,61.584,1.809,94.411,0.008,5.226,0.28,0.121,1.119,0.0,0.236,0.008,1.059,0.124,0.061,0.072,0.353,1.217,0.187,"na",0.027,0.001,1.067,0.0,0.01,2.701,0.0,0.0,0.038,0.282,0.495,0.101,2.104,"na",0.149,0.0,0.0,"na",0.172,"na",55.29,"na",0.828,0.0,0.0
1971,0.139,0.612,0.25,"na",0.0,0.092,0.02,0.004,12.253,19.466,26.82,0.018,0.591,74.185,0.012,0.075,0.358,1.728,12.367,1.598,63.628,1.859,101.004,0.013,5.714,0.365,0.126,1.397,0.0,0.249,0.008,1.761,0.147,0.065,0.085,0.853,1.24,0.193,"na",0.065,0.001,1.056,0.008,0.019,3.733,0.0,0.0,0.046,0.281,0.511,0.101,2.248,"na",0.124,0.0,0.0,"na",0.18,"na",56.858,"na",0.802,0.0,0.0
1972,0.14,0.58,0.358,"na",0.042,0.114,0.042,0.108,14.711,20.235,28.561,0.023,0.639,77.138,0.012,0.072,0.628,2.004,14.851,1.977,64.047,1.956,105.698,0.017,6.433,0.471,0.153,1.664,0.0,0.314,0.007,2.533,0.109,0.071,0.086,1.147,1.311,0.228,"na",0.26,0.001,1.095,0.011,0.025,4.964,0.0,0.0,0.044,0.26,0.539,0.11,2.293,"na",0.14,0.0,0.0,"na",0.186,"na",56.518,"na",0.795,0.0,0.0
1973,0.164,0.634,0.455,"na",0.059,0.162,0.184,0.167,16.6,21.656,31.425,0.073,0.663,79.668,0.005,0.056,0.951,2.493,16.76,2.266,64.726,2.24,111.093,0.02,6.912,0.583,0.159,1.875,0.0,0.418,0.005,2.758,0.169,0.071,0.084,1.271,1.42,0.256,"na",0.416,0.002,1.193,0.011,0.039,6.052,0.0,0.0,0.043,0.296,0.548,0.158,2.435,"na",0.165,0.0,0.0,"na",0.179,"na",56.622,"na",0.983,0.0,0.0
1974,0.164,0.682,0.52,"na",0.065,0.2,0.398,0.174,18.466,23.883,34.488,0.093,0.698,78.958,0.006,0.064,0.993,3.037,18.64,2.375,62.147,2.37,113.445,0.038,6.768,0.734,0.166,1.968,0.0,0.483,0.006,3.326,0.175,0.08,0.077,1.319,1.417,0.269,"na",0.375,0.016,1.251,0.023,0.036,7.176,0.0,0.0,0.045,0.328,0.531,0.13,2.513,"na",0.209,0.0,0.0,"na",0.164,"na",54.128,"na",1.038,0.0,0.0
