"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SS","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,282.2,13.297,275.674,7.0,"na",80.0,698.837,4857.76,20983.808,17851.581,2.139,35.114,10815.182,60.996,13947.409,47.135,2239.735,898.588,785.754,8387.196,10296.148,4333.808,31798.99,96.0,920.0,1.377,227.13,203.0,"na",577.377,8.0,126.01,25.335,1.74,"na",486.0,62.344,1313.0,1908.0,47.766,2371.0,"na",1220.0,362.0,1.0,274.2,"na","na",66.0,233.0,265.776,"na",2219.0,"na","na","na","na","na","na","na",135.0,9014.148,"na",3503.0,"na","na"
1966,360.0,12.81,292.864,9.0,"na",96.0,697.255,5302.0,23084.647,19153.096,2.139,34.085,11478.426,65.761,15409.976,54.411,2847.273,1002.15,798.373,9360.761,10961.241,4291.275,34563.072,117.0,1012.0,1.203,292.196,199.0,"na",738.586,7.0,121.712,28.98,1.616,"na",474.0,95.868,1392.0,2132.0,39.077,2505.0,"na",1508.0,370.0,1.0,417.6,"na","na",66.0,291.0,271.002,"na",2615.0,"na","na","na","na","na","na",16.244,153.0,9579.241,"na",3402.0,"na","na"
1967,382.1,10.902,318.631,21.0,"na",104.0,704.556,5762.0,24840.119,20662.851,2.056,31.085,12272.863,72.978,16450.131,78.214,3142.833,1062.737,824.236,10014.078,11736.252,4570.845,37112.982,147.0,1106.0,0.97,278.741,192.0,"na",852.035,6.0,108.562,68.994,1.843,"na",510.0,116.911,1228.0,2603.0,36.56,2522.0,"na",1733.0,411.0,1.0,319.1,"na",57.0,74.0,324.0,278.841,"na",2825.0,"na","na","na","na","na","na",47.214,179.0,10219.252,"na",3576.0,"na","na"
1968,496.6,15.184,348.158,39.0,"na",122.0,702.268,6167.104,27633.435,22087.076,1.843,35.114,12795.332,77.969,18341.691,84.571,4017.197,1239.769,833.656,11256.569,12232.743,4681.73,40428.767,161.0,1194.0,0.832,320.237,176.0,"na",932.914,5.0,166.384,92.693,1.735,"na",599.0,120.418,1503.0,2840.0,34.583,2656.0,"na",2599.0,439.0,4.0,141.3,"na",241.0,77.0,340.0,279.7,"na",3081.0,"na","na",21.0,"na","na","na",67.046,191.0,10599.743,"na",3639.0,"na","na"
1969,627.8,49.901,361.532,45.0,"na",124.0,698.215,6566.0,30486.206,23283.401,1.204,36.427,13169.78,77.959,20372.585,83.805,5094.719,1431.711,846.787,12419.759,12594.674,4702.337,43655.986,176.0,1306.0,0.466,436.587,214.0,"na",976.906,4.0,239.163,100.678,1.792,"na",642.0,138.696,1521.0,3376.0,33.861,2819.0,"na",3108.0,461.0,9.0,540.3,"na",327.0,75.0,356.0,281.089,"na",3262.0,"na","na",53.0,"na","na","na",78.101,157.0,10827.674,"na",3631.0,"na","na"
1970,779.6,102.826,399.465,176.0,"na",136.0,693.511,7126.746,34120.452,25184.962,0.914,39.505,13951.937,78.538,22887.427,63.947,6110.996,1979.495,847.44,13921.797,13256.849,4829.065,48072.389,166.681,1473.0,0.369,615.519,226.0,"na",1051.632,4.0,319.092,108.609,3.519,"na",854.0,140.471,1549.0,3847.66,31.899,3036.0,"na",3357.0,487.0,18.0,1083.1,"na",332.0,74.973,363.0,283.784,"na",3851.0,"na","na",85.0,"na","na","na",87.455,140.0,11296.849,"na",3754.0,"na","na"
1971,1059.5,116.144,431.538,315.0,"na",129.0,676.692,7610.459,36747.157,26020.432,0.478,42.418,14044.743,76.201,24771.467,80.385,5700.712,2387.084,841.093,16306.123,13223.778,4722.65,50791.9,174.845,1582.0,0.272,791.439,224.0,"na",809.143,4.0,290.847,116.059,4.9,"na",892.0,148.228,1694.0,4572.422,28.538,3253.0,"na",2750.0,486.0,69.0,1531.2,6.0,294.0,63.882,430.0,292.344,"na",4821.0,"na","na",106.0,"na","na","na",86.57,129.0,11155.778,"na",3615.0,"na","na"
1972,1202.7,142.875,444.116,337.0,"na",182.0,668.441,8064.128,39184.608,27142.45,0.58,44.3,14377.071,70.93,26419.229,89.237,5720.168,2803.638,871.121,18088.587,13519.896,4494.14,53561.68,171.186,1829.0,6.5,914.648,203.0,2.0,1089.109,78.0,207.956,125.888,7.862,"na",1081.0,151.69,1466.0,5058.957,25.472,3339.0,"na",2248.0,506.0,93.0,1815.7,33.0,282.0,66.601,482.0,298.419,"na",6070.0,"na","na",117.0,"na","na","na",83.56,141.0,11184.896,"na",3301.0,"na","na"
1973,1532.6,165.964,433.636,424.0,"na",231.0,673.943,8664.422,44003.773,28374.558,0.872,47.056,14530.279,68.746,30159.494,89.739,5982.587,3356.158,880.257,21273.722,13584.953,4791.953,58534.052,173.986,2114.0,40.56,1076.606,192.0,3.0,1111.106,209.0,164.934,152.148,8.825,"na",1338.0,148.496,2018.0,5907.376,23.356,3080.0,"na",2211.0,525.0,91.0,2054.3,32.0,293.0,72.592,570.0,303.933,"na",7693.0,"na","na",111.0,"na","na","na",81.704,166.0,10945.953,"na",3455.0,"na","na"
1974,1678.6,173.394,423.387,420.0,"na",198.0,686.488,9270.405,44605.733,28742.859,0.519,47.335,14055.34,67.762,29918.214,85.596,5506.592,3578.185,888.138,21941.702,13107.205,4368.844,58661.072,181.762,1993.0,47.62,1302.33,175.0,2.0,1035.561,177.0,144.976,204.32,9.762,"na",1375.0,154.52,1977.038,6060.301,23.375,2603.0,"na",1558.0,653.0,81.0,2255.0,35.0,290.0,79.099,518.0,308.027,"na",8618.0,"na","na",129.0,"na","na","na",87.202,187.0,10461.205,"na",3060.0,"na","na"
1975,1663.8,158.168,406.091,451.0,"na",187.0,714.002,9915.984,42089.074,29414.059,0.415,47.576,13698.6,61.684,26373.615,77.88,5045.109,3807.99,1071.771,19700.662,12548.737,3697.421,55787.674,177.415,1735.0,34.702,1547.534,164.0,3.0,1002.659,161.0,228.25,226.61,33.859,"na",1306.0,170.879,2270.559,5386.619,26.882,2132.0,"na",1514.0,806.0,98.0,1783.2,189.0,341.0,73.036,437.0,311.307,"na",7216.0,"na","na",192.0,"na","na","na",97.105,216.0,10007.737,"na",2422.0,"na","na"
1976,1936.402,153.14,408.022,461.0,"na",217.0,929.241,10465.596,46718.701,30593.728,25.186,61.985,13686.091,58.723,29811.064,77.646,5993.179,4334.714,1372.674,22351.584,12227.639,3659.406,60404.792,172.331,1598.0,40.623,1745.581,153.0,4.0,1109.107,188.0,322.216,226.171,254.432,"na",1504.0,178.148,2422.268,5918.191,28.217,2199.0,"na",1972.0,894.0,167.0,2066.786,279.0,367.0,77.407,487.0,312.713,"na",8762.0,"na","na",201.0,"na","na","na",77.951,212.0,9735.639,"na",2371.0,"na","na"
1977,1998.71,143.368,441.715,490.0,"na",227.0,1462.752,11009.914,48116.557,32506.794,24.208,72.334,14586.904,58.519,30196.667,68.014,6303.104,4747.949,1917.021,22530.309,12555.562,3639.602,62703.461,166.72,1608.0,31.792,1880.496,144.0,10.0,1187.761,184.0,406.548,225.649,798.633,"na",1685.0,210.118,2358.121,5713.959,27.103,2024.0,"na",2108.0,1085.0,183.0,2085.099,287.0,340.0,92.153,435.0,312.541,"na",9419.0,"na","na",183.0,"na","na","na",90.679,229.0,9862.562,"na",2314.0,"na","na"
1978,1830.501,131.33,466.205,490.0,"na",240.0,1774.24,11530.754,47714.305,34448.702,30.844,72.132,15625.284,55.476,28890.887,65.872,6206.664,4975.207,2306.158,21474.582,13198.441,3647.782,63339.589,165.825,1597.0,47.135,2089.552,137.0,8.0,1270.168,204.0,490.742,212.29,1127.279,"na",1635.0,232.522,2573.551,5302.055,31.397,2182.0,"na",2023.0,1327.0,216.0,1896.992,356.0,314.0,151.879,484.0,293.488,"na",8554.0,"na","na",179.0,"na","na","na",104.163,230.0,10274.441,"na",2227.0,"na","na"
1979,1830.69,146.17,487.283,491.0,"na",261.0,2247.636,11805.425,49496.846,35852.731,54.995,92.361,16558.316,51.398,30202.431,66.255,6789.127,5112.956,2848.061,22020.227,13577.534,3901.833,66055.162,171.645,1835.0,53.575,2131.725,129.0,8.0,1271.208,216.0,509.32,196.228,1623.399,"na",1590.0,264.87,3488.551,3217.589,36.226,2623.0,"na",2139.0,1607.0,282.0,2301.995,407.0,295.0,192.65,506.0,264.662,"na",9841.0,"na","na",167.0,"na","na","na",116.635,214.0,10135.534,"na",2425.0,"na","na"
1980,1734.891,150.387,505.71,460.0,"na",240.0,2284.787,12116.414,45760.274,36752.501,77.54,77.172,17186.861,55.383,26194.635,80.056,6223.9,4945.439,2979.961,18872.289,14062.626,3746.505,62947.135,187.778,1764.0,61.283,2121.895,131.0,6.0,1138.685,206.0,580.12,177.657,1676.139,"na",1577.0,193.373,2657.519,1478.962,35.495,1757.0,"na",1862.0,2129.0,276.0,2058.0,528.0,285.0,195.961,475.534,250.119,"na",10270.0,"na","na",158.0,"na","na","na",118.228,212.0,10169.626,"na",2228.0,"na","na"
1981,1540.3,145.317,518.925,449.0,"na",175.0,2480.85,12260.253,41900.596,37498.076,119.132,77.895,17645.924,54.294,22048.444,87.104,4980.698,4906.708,3149.634,16180.642,14343.573,3725.013,59546.52,220.021,1610.0,79.548,2032.719,140.0,15.0,1048.93,213.0,628.004,153.25,1867.711,"na",1602.0,309.494,906.907,1321.031,31.045,1187.0,"na",1253.0,2553.0,259.0,1439.6,512.0,330.0,193.962,421.11,253.541,"na",10256.0,"na","na",164.0,"na",1.6,"na",113.917,189.0,10180.573,"na",2163.0,"na","na"
1982,1361.8,130.132,517.082,443.0,"na",179.0,2830.716,12329.785,38835.765,38400.308,149.312,84.88,18459.969,52.212,18895.425,99.378,4810.826,4816.36,3518.152,13459.642,14789.534,3571.434,57295.733,267.915,1590.0,88.316,2050.793,147.0,34.0,1064.81,213.0,650.785,156.053,2166.717,"na",1337.0,411.787,988.181,2396.924,36.839,862.0,"na",1176.0,3001.0,304.0,1287.0,532.0,338.0,196.06,344.525,255.557,"na",6961.0,"na","na",155.0,"na",5.9,"na",108.418,177.0,10198.534,"na",1954.0,"na","na"
