"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SS","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,30.41,1.375,2.457,2.123,"na",1.294,11.78,67.0,542.512,257.545,0.558,0.993,140.99,0.224,425.957,0.714,53.437,33.923,16.578,362.411,123.285,26.868,683.502,1.318,39.528,0.705,13.353,0.55,0.45,8.2,1.1,2.916,0.471,8.438,"na",11.603,2.757,30.0,58.296,0.378,67.93,"na",20.33,47.224,1.8,16.7,3.952,2.484,0.628,3.585,1.09,"na",168.03,0.0,"na",1.452,0.0,0.0,"na",2.181,0.571,36.533,"na",19.53,0.0,0.0
1981,32.176,1.108,2.172,2.618,"na",1.5,10.996,63.0,545.122,266.702,0.576,1.088,151.295,0.207,429.715,0.758,56.282,35.308,15.769,365.265,133.667,27.127,696.417,1.476,40.175,0.733,13.29,0.53,0.371,8.08,0.85,3.53,0.463,7.875,"na",11.018,3.482,32.0,57.02,0.378,67.73,"na",22.6,56.998,2.295,16.5,3.955,2.942,0.882,3.45,1.006,"na",167.85,0.2,"na",1.89,0.0,0.015,"na",2.491,0.571,36.494,"na",19.888,0.0,0.0
1982,32.354,1.457,1.95,2.931,"na",1.445,10.664,63.0,575.558,265.885,0.65,1.084,149.953,0.191,459.626,0.825,58.271,35.357,15.33,388.902,132.389,32.261,725.511,1.718,40.312,0.754,13.259,0.61,0.327,9.44,0.85,3.7,0.482,7.463,"na",10.534,3.505,59.0,56.148,0.416,67.15,"na",22.186,56.998,2.57,16.75,3.817,3.4,0.775,3.425,0.959,"na",165.484,0.4,"na",1.75,0.0,0.03,"na",2.452,0.633,35.079,"na",24.9,0.0,0.0
1983,32.34,1.715,2.45,2.491,"na",1.527,10.728,63.0,586.761,268.962,0.71,1.11,150.539,0.186,468.338,0.475,58.039,36.308,16.411,396.921,133.223,33.398,737.3,1.85,40.491,0.738,14.881,0.64,0.308,9.22,0.86,3.959,0.547,6.938,"na",10.08,3.62,65.0,55.257,0.431,67.0,"na",21.784,57.096,2.57,16.55,4.887,3.5,0.696,3.33,1.595,"na",168.848,0.3,"na",1.46,0.0,0.03,"na",2.515,0.54,35.636,"na",25.887,0.0,0.0
1984,32.49,2.147,2.349,2.56,"na",1.47,10.027,63.0,624.678,270.155,0.983,1.1,149.815,0.174,504.338,0.44,57.767,37.824,15.762,430.755,133.031,36.354,774.493,2.016,40.532,0.798,16.365,1.1,0.465,9.0,1.181,4.026,0.623,6.0,"na",9.611,3.76,65.0,58.874,0.621,92.71,"na",21.425,56.41,2.9,16.65,4.962,3.9,0.67,4.5,1.511,"na",171.71,0.3,"na",1.397,0.0,0.058,"na",1.815,0.57,36.089,"na",28.028,0.0,0.0
1985,32.99,2.018,2.24,2.459,"na",1.443,9.63,63.0,652.362,272.118,1.006,1.17,150.197,0.181,530.441,0.435,57.037,38.71,16.302,431.732,132.892,62.886,802.559,2.168,40.939,0.756,17.088,1.24,0.447,8.82,1.148,3.8,0.657,5.625,"na",9.18,3.761,65.0,59.0,0.636,92.464,"na",21.3,55.593,3.5,16.6,5.903,4.067,0.589,4.5,1.442,"na",171.49,0.3,"na",1.54,0.0,0.109,"na",1.78,0.612,36.36,"na",54.454,0.0,0.5
1986,97.203,1.4,2.233,2.874,"na",1.475,9.276,61.0,758.643,270.377,0.982,0.679,149.03,0.142,637.297,0.429,57.966,39.459,16.509,537.128,131.036,64.576,907.674,2.358,41.102,0.72,17.161,1.7,0.403,8.8,1.235,4.5,0.646,5.325,"na",9.0,4.635,72.0,92.86,0.643,94.522,"na",22.8,54.88,3.53,16.066,6.493,4.037,0.536,4.5,1.362,"na",169.744,0.3,"na",1.62,0.0,0.104,"na",1.753,0.564,35.054,"na",55.521,0.0,0.5
1987,98.105,2.0,2.246,2.906,"na",1.6,8.996,59.0,790.185,269.308,0.955,0.671,148.696,0.127,669.574,0.616,58.664,39.465,16.344,566.577,130.714,68.118,938.882,2.551,41.201,0.695,17.423,1.91,0.403,8.564,1.594,4.685,0.96,5.175,"na",9.0,4.416,100.0,92.86,0.681,94.525,"na",22.8,54.11,3.324,15.98,6.636,4.105,0.48,4.5,1.286,"na",169.585,0.3,"na",1.72,0.0,0.104,"na",1.725,0.62,35.403,"na",58.101,0.022,1.05
1988,98.105,2.0,2.28,3.189,"na",1.2,8.253,59.0,877.942,270.777,0.956,0.976,148.765,0.114,755.929,0.608,58.997,39.646,17.246,653.035,129.543,69.24,1026.706,2.816,41.468,0.75,17.284,2.05,0.541,9.2,1.515,4.271,0.93,4.275,"na",9.0,4.463,100.0,92.86,0.802,94.525,"na",22.8,53.012,3.379,16.0,8.156,4.142,0.853,4.5,1.231,"na",254.989,0.3,"na",1.8,0.0,0.104,"na",1.79,0.613,35.063,"na",58.505,0.051,2.0
1989,98.105,2.074,2.168,3.101,"na",1.152,7.705,58.5,880.908,263.08,0.908,0.946,146.362,0.098,764.191,0.64,59.087,34.731,16.88,661.029,127.549,69.495,1027.27,2.76,41.296,0.71,16.058,1.98,0.629,9.236,1.442,4.3,0.959,3.825,"na",5.114,4.345,100.0,92.86,0.764,97.125,"na",22.8,51.983,3.675,16.0,8.422,4.291,0.847,4.5,1.199,"na",260.05,0.3,"na",2.0,0.0,0.231,"na",1.8,0.619,34.27,"na",59.04,0.11,2.0
1990,98.1,1.625,1.57,3.157,"na",1.124,8.254,58.4,882.978,263.21,0.889,1.005,144.536,0.071,764.304,0.617,58.726,36.307,17.51,659.614,125.432,71.525,1027.514,4.513,40.294,0.754,16.02,1.99,0.591,9.2,1.355,3.459,0.86,4.013,"na",5.415,5.563,100.0,92.85,0.764,97.025,"na",22.8,51.298,3.56,17.1,8.631,4.353,0.823,2.993,1.52,"na",260.342,0.3,"na",1.88,0.0,0.261,"na",1.739,0.602,33.84,"na",60.054,0.201,2.0
1991,98.1,1.45,1.683,3.227,1.254,1.15,8.479,"na",955.171,327.659,0.812,0.913,142.677,0.071,770.188,0.603,60.372,36.998,17.889,660.82,123.169,74.556,1097.847,4.818,40.098,0.698,15.513,1.885,0.616,9.2,1.524,3.535,0.876,4.162,0.3,5.909,6.126,100.0,92.86,0.825,96.5,5.187,22.8,50.925,3.7,20.0,8.811,4.35,0.822,2.993,1.491,116.149,260.936,0.3,"na",3.0,0.0,0.22,0.546,0.401,0.573,32.146,0.262,62.649,0.24,2.01
1992,98.1,1.334,2.017,3.22,1.254,1.13,8.524,"na",961.081,330.085,0.758,0.867,142.751,0.059,773.747,0.635,61.079,37.537,18.762,661.593,122.055,78.763,1103.832,4.966,39.634,0.725,15.193,3.232,0.748,9.2,3.24,3.435,0.768,4.575,0.3,5.598,5.91,100.0,92.86,0.643,96.5,5.187,22.8,51.225,5.09,20.991,9.743,4.74,0.803,3.121,1.245,116.149,261.203,0.3,"na",3.0,0.0,0.179,0.546,0.468,0.541,31.196,0.262,63.33,0.35,2.01
1993,98.1,1.901,2.217,3.258,1.254,1.25,8.143,"na",963.476,328.408,0.634,1.089,140.83,0.06,775.898,0.861,61.233,38.834,18.201,661.932,120.451,80.684,1104.306,4.982,39.496,0.65,16.435,3.156,0.704,9.2,3.66,3.425,0.662,4.537,0.3,5.167,5.86,100.0,92.86,0.643,96.5,5.187,22.8,50.776,4.96,20.991,9.566,5.0,0.799,3.121,1.008,115.077,261.355,0.3,"na",2.95,0.0,0.218,0.546,0.369,0.56,30.179,0.262,64.448,0.596,1.986
1994,98.1,2.965,2.253,3.818,1.157,1.188,7.991,"na",969.538,337.393,0.582,1.083,148.432,0.052,780.577,0.958,65.008,39.203,18.158,663.562,127.551,81.482,1117.97,5.374,48.149,1.413,16.258,3.139,0.755,9.979,3.491,3.941,1.4,4.313,0.3,4.98,5.807,100.0,94.3,0.757,96.5,5.318,22.8,49.775,5.2,20.991,9.704,5.1,0.831,3.5,1.0,115.077,261.374,0.3,"na",2.65,0.0,0.231,0.546,0.338,0.56,29.627,0.262,64.877,0.639,1.986
1995,98.1,3.125,2.386,3.799,1.157,1.124,8.326,"na",976.938,337.544,0.665,1.073,149.227,0.114,788.621,0.999,71.953,39.1,19.617,663.308,126.913,83.739,1126.165,6.223,48.367,1.35,16.355,2.952,0.912,9.979,3.385,3.804,1.47,4.537,0.555,4.98,5.51,100.0,93.7,0.772,96.5,5.318,29.5,48.796,5.2,20.828,10.804,5.2,0.808,3.7,1.006,113.607,261.45,0.3,"na",2.558,0.0,0.295,0.546,0.377,0.657,29.75,0.262,66.329,0.764,1.986
1996,97.8,3.695,2.6,3.818,1.157,1.09,8.717,"na",997.783,340.418,0.671,1.331,150.977,0.215,808.342,1.045,74.932,38.993,20.978,673.995,127.255,90.74,1148.76,6.681,48.943,1.6,16.444,2.798,0.862,10.8,3.453,3.844,2.8,4.987,0.555,4.73,5.487,112.0,92.6,0.757,96.5,5.318,29.5,48.472,4.961,20.828,11.682,5.3,0.774,3.7,0.98,113.607,261.444,0.3,"na",2.45,0.0,0.241,0.546,0.34,0.723,29.84,0.594,72.667,0.89,1.986
1997,97.8,3.9,2.621,4.038,1.157,1.06,8.689,"na",1010.618,341.358,0.693,1.197,151.441,0.214,820.701,1.065,75.259,40.331,21.286,683.228,127.144,93.439,1162.059,7.106,48.803,1.615,17.022,2.577,0.943,11.2,3.674,3.719,2.672,5.175,0.555,4.87,5.625,112.5,92.6,0.643,96.5,5.318,29.5,47.822,4.976,20.828,12.041,5.399,0.758,12.5,0.931,113.112,261.541,0.262,"na",2.345,0.0,0.296,0.546,0.314,0.706,30.519,0.594,74.931,1.246,1.829
1998,97.8,4.03,2.753,4.774,1.157,1.02,8.74,"na",1017.936,316.21,0.699,1.34,124.476,0.164,826.201,1.078,77.172,41.989,20.981,685.242,100.019,95.554,1142.412,7.357,49.823,1.7,17.423,2.478,0.881,11.314,4.102,3.757,2.565,5.138,0.555,5.1,5.394,112.5,93.7,0.636,96.5,5.4,29.5,21.638,4.65,22.5,11.663,5.4,0.937,13.486,1.163,113.112,261.542,0.262,"na",2.3,0.0,0.388,0.546,0.29,0.74,28.558,0.594,76.108,1.9,1.85
