"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OME","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KR","KW","KZ","LK","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SI","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.296,"na",0.0,0.0,0.0,2.909,0.0,0.0,0.0,17.985,0.0,0.0,1.644,3.009,0.0,13.332,0.0,17.985,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.348,0.0,0.0,0.0,0.0,0.026,0.207,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.1,0.0,0.0,"na",13.332,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.284,"na",0.0,0.0,0.0,3.979,0.0,0.0,0.0,19.806,0.0,0.0,1.643,4.101,0.0,14.062,0.0,19.806,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.39,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.351,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.359,0.0,0.0,0.0,0.0,0.038,0.2,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.122,0.0,0.0,"na",14.062,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.29,"na",0.0,0.0,0.0,4.316,0.0,0.0,0.0,19.987,0.0,0.0,1.424,4.489,0.0,14.074,0.0,19.987,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.605,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.475,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.134,0.0,0.0,0.0,0.0,0.044,0.192,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.173,0.0,0.0,"na",14.074,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.282,"na",0.0,0.0,0.0,4.818,0.0,0.0,0.0,22.12,0.0,0.0,1.577,4.997,0.0,15.546,0.0,22.12,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.926,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.617,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.0,0.047,0.228,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.179,0.0,0.0,"na",15.546,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.281,"na",0.0,0.0,0.0,5.243,0.0,0.0,0.0,23.258,0.0,0.0,1.608,5.423,0.0,16.227,0.0,23.258,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,1.067,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,3.812,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.327,0.0,0.0,0.0,0.0,0.084,0.28,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.178,0.0,0.0,"na",16.227,"na",0.0,0.0,0.0
1970,0.0,0.048,0.0,0.261,"na",0.0,0.0,0.0,6.94,0.0,0.562,0.0,25.131,0.0,0.0,1.777,7.118,0.0,16.236,0.562,25.693,0.515,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,"na",0.0,0.047,0.0,1.37,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,4.228,0.243,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.273,0.0,0.0,0.0,0.0,0.059,0.186,0.0,0.0,"na",0.0,0.13,0.0,"na",0.0,0.0,"na",0.166,0.0,0.0,"na",16.236,"na",0.0,0.0,0.0
1971,0.0,0.05,0.0,0.263,"na",0.0,0.0,0.0,7.058,0.0,2.242,0.0,25.637,0.0,0.164,1.755,7.232,0.0,16.584,2.144,27.879,0.633,"na",0.0,0.0,0.066,0.0,0.0,0.0,0.0,1.001,0.0,0.0,0.0,"na",0.0,0.052,0.0,1.392,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,4.209,0.236,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.256,0.0,0.227,0.0,0.0,0.101,0.143,0.0,0.0,"na",0.0,0.16,0.0,"na",0.0,0.0,"na",0.162,0.035,0.0,"na",16.584,"na",0.0,0.0,0.0
1972,0.0,0.064,0.0,0.28,"na",0.0,0.0,0.0,6.926,0.0,2.239,0.0,27.638,0.0,0.165,1.786,7.123,0.0,18.673,2.131,29.877,0.717,"na",0.0,0.0,0.057,0.0,0.0,0.0,0.0,1.019,0.0,0.0,0.0,"na",0.0,0.061,0.0,1.515,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,3.807,0.249,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,1.257,0.0,0.227,0.0,0.0,0.185,0.113,0.0,0.0,"na",0.0,0.226,0.0,"na",0.0,0.0,"na",0.175,0.035,0.0,"na",18.673,"na",0.0,0.0,0.0
1973,0.0,0.049,0.0,0.338,"na",0.0,0.116,0.0,7.442,0.0,2.385,0.0,29.7,0.0,0.17,1.835,7.663,0.0,20.151,2.266,32.085,0.751,"na",0.0,0.0,0.051,0.0,0.0,0.0,0.0,1.053,0.0,0.0,0.0,"na",0.0,0.056,0.0,1.55,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,3.845,0.254,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.161,0.0,0.0,0.0,1.243,0.0,0.23,0.0,0.0,0.223,0.2,0.0,0.0,"na",0.0,0.399,0.0,"na",0.0,0.0,"na",0.197,0.029,0.0,"na",19.99,"na",0.0,0.0,0.0
1974,0.0,0.05,0.0,0.429,"na",0.0,0.108,0.0,7.829,0.0,2.507,0.0,31.452,0.0,0.175,2.496,8.042,0.0,20.867,2.378,33.959,0.785,"na",0.0,0.0,0.046,0.0,0.0,0.0,0.0,1.076,0.0,0.0,0.0,"na",0.0,0.051,0.0,1.577,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,4.245,0.308,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.463,0.0,0.0,0.0,1.76,0.0,0.266,0.0,0.0,0.235,0.18,0.0,0.0,"na",0.0,0.357,0.0,"na",0.0,0.0,"na",0.207,0.025,0.0,"na",20.404,"na",0.0,0.0,0.0
