title         = ASCII CSV version of worksheet "Natural Gas: Consumption" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_gas_consumption_m3.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic metres

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_FSU","BP_OME","BP_TAF","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KW","KZ","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PL","PT","QA","RO","RU","SA","SE","SI","SK","TM","TR","TT","UA","US","UZ","VE","ZA"
1965,0.0,4.123,1.723,0.003,"na",0.0,0.073,0.056,121.676,0.241,0.954,37.884,4.013,445.654,14.834,0.052,"na",21.668,0.0,0.618,1.109,0.895,0.0,0.429,3.098,0.0,0.743,0.0,0.0,0.047,0.0,0.0,5.004,0.859,0.0,0.0,0.0,1.36,0.507,0.0,0.074,0.237,0.473,0.815,0.0,7.375,1.826,1.726,"na",0.0,0.0,0.0,0.049,0.0,8.065,0.0,1.5,0.0,0.0,0.0,0.366,1.713,0.0,0.084,14.049,"na",0.6,0.0,0.0,0.299,"na",0.0,1.223,"na",415.921,"na",7.518,0.0
1966,0.0,4.466,1.85,0.004,"na",0.0,0.133,0.084,135.737,0.284,1.067,42.893,4.878,480.509,15.845,0.061,"na",23.722,0.0,0.645,1.351,0.934,0.0,0.449,3.723,0.0,0.772,0.0,0.0,0.054,0.0,0.0,5.279,0.839,0.0,0.0,0.0,1.686,0.518,0.0,0.095,0.266,0.577,0.854,0.0,8.052,1.874,2.261,"na",0.0,0.0,0.0,0.049,0.0,8.511,0.0,2.861,0.0,0.0,0.0,0.382,2.037,0.0,0.085,15.147,"na",0.722,0.0,0.0,0.332,"na",0.0,1.435,"na",448.276,"na",7.883,0.0
1967,0.443,4.67,1.772,0.004,"na",0.0,0.506,0.256,149.443,0.333,1.055,51.404,5.797,505.83,17.085,0.069,"na",25.192,0.0,0.572,1.471,1.155,0.0,0.539,4.799,0.0,0.749,0.0,0.0,0.054,0.0,0.0,6.033,1.411,0.0,0.0,0.0,2.163,0.632,0.0,0.107,0.356,0.46,0.896,0.0,8.795,1.939,2.573,"na",0.0,0.0,0.0,0.049,0.0,7.32,0.0,5.056,0.0,0.0,0.0,0.357,2.489,0.0,0.117,16.698,"na",0.87,0.0,0.0,0.398,"na",0.0,1.584,"na",473.319,"na",8.638,0.0
1968,0.585,5.2,1.89,0.03,"na",0.0,1.23,0.391,161.36,0.392,1.069,66.606,7.282,542.593,17.956,0.073,"na",28.052,0.0,0.489,1.411,1.177,0.0,0.665,7.887,0.0,0.787,0.0,0.0,0.054,0.0,0.0,7.215,3.185,0.0,0.0,0.0,2.723,0.642,0.0,0.137,0.395,0.461,0.957,0.0,10.329,2.109,3.172,"na",0.0,0.0,0.0,0.049,0.0,7.859,0.0,8.5,0.0,0.0,0.0,0.398,3.419,0.0,0.532,17.669,"na",1.046,0.0,0.0,0.891,"na",0.0,1.662,"na",506.681,"na",8.917,0.0
1969,0.575,5.181,2.293,0.413,"na",0.0,2.533,0.407,172.443,0.462,1.249,85.912,8.706,586.507,18.481,0.077,"na",31.35,0.0,0.643,1.975,1.285,0.0,0.729,11.232,0.0,1.035,0.0,0.0,0.068,0.094,0.0,8.384,6.207,0.0,0.0,0.0,3.242,1.211,0.0,0.141,0.475,0.724,1.123,0.0,11.341,2.333,3.541,"na",0.0,0.003,0.0,0.049,0.0,9.747,0.0,12.528,0.0,0.0,0.0,0.405,4.74,0.0,0.882,20.517,"na",1.259,0.0,0.0,0.903,"na",0.0,1.671,"na",545.411,"na",9.176,0.0
1970,0.819,5.854,2.781,1.73,"na",0.0,3.975,0.367,189.485,0.543,1.552,108.489,9.405,619.467,18.811,0.082,"na",34.634,0.038,0.642,2.893,1.249,0.0,0.801,15.974,0.0,0.973,0.07,0.0,0.082,0.075,0.0,9.552,11.828,0.0,0.0,0.0,3.635,1.258,0.0,0.129,0.633,0.741,2.662,0.0,12.235,3.572,1.935,"na",0.0,0.007,0.0,0.049,0.0,9.968,0.008,17.639,0.0,0.071,0.0,0.398,6.046,0.0,1.04,21.325,"na",1.536,0.0,0.0,1.213,"na",0.0,1.912,"na",574.866,"na",8.558,0.0
1971,1.297,6.32,3.194,2.583,"na",0.0,5.481,0.288,207.122,0.64,1.841,133.598,10.337,639.979,19.158,0.13,"na",36.967,0.093,0.655,3.769,1.3,0.0,0.995,21.102,0.0,1.105,0.07,0.0,0.082,0.398,0.0,11.321,19.071,0.0,0.0,0.0,3.786,1.272,0.0,0.121,0.671,0.879,3.081,0.0,12.64,3.83,1.999,"na",0.0,0.015,0.0,0.05,0.0,10.359,0.083,23.056,0.0,0.09,0.0,0.475,6.649,0.0,1.04,22.801,"na",1.282,0.0,0.0,1.522,"na",0.0,1.863,"na",592.653,"na",8.294,0.061
1972,1.346,7.092,3.452,3.707,"na",0.44,6.911,0.194,217.848,0.777,2.467,162.648,11.613,651.354,20.283,0.178,"na",41.579,0.118,0.596,4.878,1.589,0.0,1.081,27.322,0.0,1.283,0.101,0.0,0.068,1.172,0.0,13.387,27.063,0.0,0.0,0.0,4.086,1.247,0.0,0.119,0.736,0.888,3.527,0.0,14.495,3.832,2.363,"na",0.0,0.117,0.0,0.054,0.0,11.078,0.116,30.0,0.0,0.164,0.0,0.456,6.997,0.0,1.142,23.147,"na",1.453,0.0,0.0,1.653,"na",0.0,1.926,"na",598.696,"na",8.244,0.092
1973,1.687,8.071,3.794,4.707,"na",0.608,8.307,0.195,236.915,1.258,3.955,184.851,14.137,650.288,23.016,0.204,"na",44.218,0.16,0.468,6.027,1.646,0.0,1.187,35.233,0.0,1.786,0.058,0.0,0.055,1.131,0.0,15.702,29.281,0.0,0.0,0.0,4.852,0.812,0.0,0.052,0.734,0.865,4.284,0.0,16.283,5.332,2.647,"na",0.0,0.234,0.0,0.068,0.0,12.275,0.116,33.361,0.0,0.19,0.0,0.447,7.276,0.0,1.635,24.456,"na",1.71,0.0,0.0,1.816,"na",0.0,1.85,"na",593.796,"na",10.155,0.099
1974,1.755,8.542,4.113,5.37,"na",0.669,9.736,0.425,251.216,1.55,4.452,209.37,14.81,630.837,24.257,0.393,"na",44.698,0.336,0.488,7.589,1.713,0.0,1.448,44.076,0.0,2.067,0.116,0.0,0.058,1.414,0.444,16.394,35.023,0.0,0.0,0.0,5.168,1.144,0.0,0.063,0.83,0.794,4.356,0.0,18.314,7.287,2.784,"na",0.0,0.315,0.0,0.078,0.0,12.915,0.242,35.5,0.0,0.364,0.0,0.46,7.479,0.0,1.343,25.243,"na",2.164,0.0,0.0,2.214,"na",0.0,1.69,"na",573.225,"na",10.733,0.116
