title         = ASCII CSV version of worksheet "Oil: Consumption" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_oil_consumption_bbl.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = thousand barrels daily

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OME","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KR","KW","KZ","LK","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SI","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,1.546,432.374,106.653,312.98,"na","na",312.113,71.221,7793.204,3313.952,8159.779,61.778,23102.661,115.033,543.647,3206.817,8213.062,1446.501,12946.175,1592.286,31262.441,305.674,"na",1108.116,164.189,70.517,215.494,81.432,7.726,78.083,1708.632,202.447,26.716,13.395,"na",130.738,268.464,110.57,1065.497,1466.078,84.771,40.612,"na",73.122,121.971,46.549,75.997,252.234,602.495,142.896,9.403,978.986,1705.076,24.946,108.916,"na",9.35,"na",16.146,"na",20.741,"na",315.871,46.08,477.892,99.449,56.719,9.03,72.125,84.587,75.727,108.745,50.253,1.013,142.55,"na",389.574,367.955,76.5,"na",44.881,47.561,"na",69.374,35.171,43.856,"na",11522.188,"na",183.88,31.347,117.729
1966,1.656,447.271,118.206,367.428,"na","na",318.668,81.129,8560.419,3548.819,8780.294,65.232,24867.244,119.634,594.433,3695.405,9031.4,1488.975,13600.865,1687.641,33647.538,334.603,"na",1167.469,174.73,77.453,276.665,92.394,8.849,85.892,1915.968,230.123,35.353,13.969,"na",139.933,318.839,134.503,1145.223,1573.599,92.821,44.746,"na",80.925,117.467,52.169,79.262,281.529,622.738,155.999,10.124,1079.862,1945.192,37.368,106.34,"na",9.575,"na",18.277,"na",28.176,"na",333.048,53.752,521.76,112.014,62.73,9.42,92.296,92.283,77.752,113.892,51.667,1.01,148.9,"na",392.916,415.517,87.407,"na",49.358,55.993,"na",82.812,35.418,51.778,"na",12100.347,"na",181.469,68.51,127.854
1967,1.791,459.877,125.649,401.463,"na","na",350.395,101.827,9288.667,3866.126,9354.626,69.918,26668.478,124.384,592.08,4302.995,9812.116,1537.127,14169.743,1742.917,36023.104,344.54,"na",1245.557,188.007,81.569,273.294,93.369,9.622,95.499,1997.306,243.873,33.286,15.11,"na",115.715,387.672,141.249,1315.157,1696.269,109.213,53.572,"na",86.061,114.318,58.485,82.614,289.38,644.568,172.291,9.876,1198.533,2388.41,64.731,103.854,"na",9.807,"na",20.106,"na",30.96,"na",357.306,53.441,533.563,116.586,65.812,9.829,93.001,103.991,86.803,124.184,56.916,1.536,169.973,"na",396.26,407.651,104.374,"na",54.869,61.973,"na",97.021,36.954,61.371,"na",12566.88,"na",185.729,100.338,138.497
1968,1.997,468.995,144.321,435.991,"na","na",405.103,120.457,10165.01,4107.31,9996.426,73.7,28961.642,129.061,623.33,4904.95,10758.95,1585.845,15112.851,1864.831,38958.068,412.432,"na",1322.157,207.604,86.064,298.006,103.897,10.596,105.561,2233.023,263.77,35.374,18.009,"na",120.501,411.124,159.511,1418.657,1794.165,112.242,58.338,"na",90.229,120.646,64.806,85.908,324.334,667.633,189.27,10.517,1318.665,2765.208,95.416,101.207,"na",10.014,"na",22.156,"na",33.886,"na",386.145,53.941,572.523,129.532,67.433,10.25,92.761,118.343,98.628,154.398,60.958,1.967,180.335,"na",398.553,456.648,128.878,"na",60.694,81.13,"na",116.566,37.56,72.864,"na",13404.549,"na",201.426,102.08,150.065
1969,2.219,491.751,158.687,450.961,"na","na",468.288,148.472,11390.47,4376.249,10069.482,77.257,31592.292,134.593,637.182,5717.54,12038.18,984.894,15943.197,1964.531,41661.774,456.565,"na",1380.19,226.43,92.455,400.561,100.492,12.554,113.458,2520.928,316.139,37.714,18.951,"na",91.508,469.014,184.593,1641.933,1930.183,119.948,69.568,"na",101.012,130.462,70.943,89.834,392.345,35.625,207.363,9.712,1462.604,3284.039,129.793,99.208,"na",10.274,"na",24.635,"na",36.785,"na",410.022,55.897,625.223,142.952,70.332,10.706,91.023,127.193,92.757,170.271,64.539,2.281,200.296,"na",403.065,515.527,127.077,"na",65.223,87.97,"na",129.44,39.487,87.341,"na",14152.985,"na",200.371,123.714,165.283
1970,2.562,447.786,175.708,496.754,"na","na",511.709,172.553,12605.297,4826.363,11039.254,80.921,34187.48,130.695,703.585,6647.959,13332.621,1044.019,16622.226,2049.962,45226.734,515.878,"na",1471.58,253.719,97.838,554.224,116.066,13.262,136.729,2765.05,350.737,43.01,21.514,"na",117.094,534.015,207.461,1860.038,2030.726,129.852,74.896,"na",117.526,137.741,79.346,93.654,390.317,48.231,223.955,9.963,1658.888,3876.209,162.12,97.028,"na",20.604,"na",26.154,"na",38.504,"na",440.736,61.794,699.746,161.006,82.287,11.198,95.378,144.428,91.833,181.138,91.524,1.955,217.607,"na",434.741,560.565,138.037,"na",78.574,102.809,"na",136.221,40.506,104.729,"na",14709.91,"na",209.874,128.258,179.128
1971,2.986,479.603,196.213,523.101,"na",14.006,525.208,189.469,13196.907,5126.54,12087.479,83.311,35848.536,136.322,794.553,7395.735,14008.954,1098.289,17202.171,2309.773,47936.015,568.841,"na",1512.128,269.506,108.044,753.265,119.953,15.828,151.18,2888.109,346.842,48.878,23.877,"na",122.027,593.255,215.13,2022.417,2036.777,143.342,79.621,"na",132.699,142.4,87.807,97.67,416.36,51.746,246.193,10.834,1789.874,4285.448,183.125,96.249,"na",18.916,"na",27.295,"na",40.638,"na",467.285,67.587,695.686,160.123,84.878,23.914,95.265,167.836,87.114,191.04,103.56,1.89,221.924,"na",441.319,529.939,120.722,"na",86.911,114.387,"na",160.354,41.859,145.157,"na",15222.758,"na",212.342,108.502,195.373
1972,3.896,478.584,211.859,532.159,"na",16.868,566.885,196.511,14108.185,5547.118,13087.748,93.292,38381.039,132.986,860.433,7942.588,14964.287,1180.176,18493.076,2481.108,51468.787,655.577,"na",1588.909,275.571,114.291,864.588,134.953,17.665,164.674,3036.931,365.701,53.543,24.657,"na",139.706,622.715,227.921,2237.728,2155.154,164.901,90.006,"na",144.069,154.256,96.223,101.775,447.397,63.586,273.95,11.581,1885.622,4570.639,190.533,104.271,"na",20.447,"na",28.703,"na",43.342,"na",523.353,74.931,776.911,167.511,91.02,27.214,81.645,164.263,71.204,213.607,112.387,2.244,235.969,"na",470.255,545.128,150.323,"na",94.649,142.748,"na",181.113,67.287,156.196,"na",16380.814,"na",230.822,111.719,211.965
1973,6.063,482.635,230.396,569.901,"na",18.975,597.896,207.978,15148.577,5981.45,14325.952,92.694,41303.041,143.642,928.923,9060.941,16095.132,1275.913,19564.49,2722.145,55628.993,802.757,"na",1682.379,297.284,109.559,1058.323,131.227,19.007,184.897,3249.326,341.325,58.849,27.439,"na",131.569,745.247,254.964,2499.079,2228.136,192.441,93.921,"na",163.105,184.442,104.456,107.927,473.67,62.218,329.375,13.464,1982.795,5264.604,235.133,99.388,"na",21.267,"na",31.84,"na",51.482,"na",564.178,81.921,808.201,171.939,96.233,23.803,95.417,192.745,73.214,238.11,123.788,2.913,265.196,"na",500.585,567.576,142.609,"na",106.295,151.426,"na",222.634,68.266,199.928,"na",17317.933,"na",257.259,109.935,234.176
1974,8.395,482.874,207.131,603.856,"na",19.626,529.36,216.242,14231.145,6587.913,15245.564,101.703,39593.014,154.115,961.26,8998.493,15153.623,1360.682,18972.759,2803.847,54838.577,862.909,"na",1712.654,265.094,105.071,1216.71,144.798,16.944,188.955,2956.807,308.552,65.642,31.347,"na",145.608,775.679,223.222,2374.834,2069.287,179.702,96.436,"na",178.354,193.205,103.464,110.112,464.375,62.33,382.759,12.51,1927.031,5068.186,243.641,91.285,"na",16.865,"na",28.73,"na",54.989,"na",629.457,81.673,697.977,156.366,92.23,22.088,112.086,180.023,78.956,250.002,131.245,3.99,244.407,"na",525.608,508.048,140.118,"na",108.627,153.653,"na",216.184,67.354,179.726,"na",16630.648,"na",259.425,67.511,228.391
1975,13.486,457.946,209.78,600.008,"na",23.103,503.766,229.282,13734.711,6911.786,15842.537,100.77,38542.504,170.517,1005.942,8966.626,14672.746,1316.562,18706.23,2805.149,54385.041,891.089,"na",1682.42,255.994,92.021,1341.996,144.821,14.336,208.072,2874.849,305.669,72.881,30.726,"na",159.37,813.887,231.322,2181.479,1815.078,190.969,91.174,"na",202.535,221.157,101.281,113.53,476.862,63.573,449.692,11.817,1814.703,4787.587,277.342,72.645,"na",16.35,"na",25.903,"na",57.299,"na",690.249,86.158,687.902,162.425,89.086,20.513,117.579,194.113,82.209,271.614,137.718,4.759,278.604,"na",407.847,509.899,137.4,"na",119.58,167.9,"na",240.46,52.187,208.842,"na",16333.561,"na",275.922,64.568,243.47
1976,19.487,472.729,225.926,612.665,"na",24.931,523.618,238.032,14620.82,7055.123,16778.353,106.35,40988.06,190.204,1115.205,9519.368,15631.306,1501.602,20003.501,2940.309,57766.413,960.826,"na",1788.929,265.314,97.105,1534.126,152.093,14.535,218.724,3097.394,325.216,84.68,34.702,"na",187.297,920.088,246.886,2349.02,1806.007,203.191,107.115,"na",212.471,237.285,102.67,119.572,502.896,79.934,506.258,11.822,1890.739,4975.958,310.185,84.286,"na",16.208,"na",27.936,"na",62.244,"na",753.827,95.739,771.365,178.539,91.371,23.817,118.64,198.61,82.284,298.057,143.556,6.552,310.032,"na",471.492,563.072,162.429,"na",125.716,175.971,"na",270.379,58.261,268.449,"na",17460.745,"na",280.302,16.797,245.709
1977,28.32,497.941,218.234,643.165,"na",24.583,516.777,248.338,14492.334,7375.718,17829.104,108.933,42103.744,210.154,1186.508,9993.376,15567.513,1706.169,21035.216,3068.348,59932.848,992.504,"na",1811.693,267.522,100.024,1624.896,153.115,15.899,229.689,3072.845,325.634,95.217,43.558,"na",201.083,879.09,244.571,2272.067,1829.227,208.209,115.773,"na",225.917,280.866,110.129,125.279,542.089,93.12,591.502,12.387,1844.118,5083.193,371.209,81.808,"na",17.266,"na",27.672,"na",70.35,"na",780.156,108.917,744.161,176.65,92.032,23.479,118.337,217.113,87.111,320.044,143.099,8.611,332.586,"na",543.895,545.176,163.642,"na",132.036,197.951,"na",308.372,57.167,298.298,"na",18443.367,"na",314.789,16.339,243.837
1978,30.994,499.884,236.522,655.061,"na",26.194,551.44,255.434,15239.538,7822.327,19034.682,125.665,43750.638,222.026,1254.809,10801.504,16409.517,1775.793,21493.934,3227.436,62785.32,1093.846,"na",1849.045,277.58,108.83,1819.061,156.637,16.571,237.85,3229.59,327.602,99.387,44.84,"na",208.772,930.005,246.784,2398.825,1903.164,228.014,120.464,"na",249.262,316.932,119.867,133.568,588.409,88.583,593.397,13.015,1975.592,5421.098,425.905,87.864,"na",20.092,"na",28.03,"na",75.376,"na",888.948,119.021,774.949,200.473,88.061,22.301,116.936,223.859,92.016,342.822,148.075,8.488,365.775,"na",588.571,529.597,169.817,"na",136.723,221.278,"na",338.398,52.174,348.835,"na",18755.941,"na",330.872,19.735,256.026
1979,42.187,528.459,246.078,667.344,"na",28.924,550.659,262.834,15627.91,7967.873,19871.542,138.331,44050.634,258.072,1340.373,11101.268,16773.954,2018.363,21331.261,3389.084,63922.176,1161.576,"na",1931.128,266.409,109.887,1827.1,165.69,16.862,241.891,3336.601,314.034,118.641,47.775,"na",229.011,992.39,260.639,2388.386,1921.842,240.883,123.753,"na",236.213,345.585,125.501,146.482,633.682,107.33,625.528,12.563,2035.513,5491.071,480.445,98.258,"na",20.627,"na",26.411,"na",85.364,"na",961.922,144.905,838.548,199.827,89.03,23.159,121.395,230.598,98.657,349.127,157.879,9.179,387.133,"na",708.169,552.084,181.092,"na",139.053,225.112,"na",302.585,40.484,352.15,"na",18438.211,"na",354.43,22.86,242.362
1980,99.33,490.152,240.058,639.485,"na",32.355,505.617,271.336,14534.93,8338.158,20235.882,153.721,41063.985,253.54,1417.378,10471.896,15651.706,1932.986,20032.077,3455.667,61299.867,1125.338,"na",1898.032,265.906,111.302,1706.835,157.059,16.971,224.649,3014.442,268.571,120.233,61.877,"na",256.525,1042.8,251.465,2219.989,1649.148,246.01,125.878,"na",230.513,385.715,112.976,158.498,643.379,141.794,569.691,11.587,1929.293,4904.686,475.88,83.102,"na",20.74,"na",22.453,"na",85.823,"na",1071.689,163.214,779.543,198.84,86.268,17.849,131.042,214.82,102.608,346.719,167.839,16.874,365.707,"na",592.306,491.806,179.412,"na",129.136,232.508,"na",306.431,32.448,364.289,"na",17062.355,"na",423.401,40.101,248.472
